Customer_ID,Full_Name,Gender,Age,State,Customer_Since,Marital_Status,Employment_Status,Monthly_Income,Plan_Type,Internet_Type,Monthly_Data_Usage_GB,Monthly_Call_Minutes,SMS_Usage,Streaming_Hours,Roaming_Usage,Add_On_Subscription,Monthly_Bill,Outstanding_Balance,Payment_Method,Payment_Status,Late_Payment_Count,Discount_Applied,Support_Tickets,Average_Resolution_Time,Complaint_Category,Customer_Satisfaction,NPS_Score,Mobile_App_Login_Last30Days,Website_Visits,Referral_Count,Promotion_Clicked,Email_Open_Rate,Contract_Type,Tenure_Months,Estimated_CLV,Risk_Score,Customer_Segment,Churn
CUST-101643,Nozi Afolabi,Female,69,Nasarawa,2015-02-03,Single,Unemployed,12739.0,Premium,Satellite,226.0,858,248,78.5,No,"Cloud, Music",8902.0,12031.0,Ussd,Partial,13,Yes,6,43.3,Device,7.0,86,10,23,0,No,0.67,Two-Year,124.0,210969.0,30,Premium,No
CUST-108819,Chidinma Agwu,Male,29,Bauchi,2021-08-06,Single,Freelancer,428380.0,Premium,No Internet,83.3,845,0,35.3,No,"Cloud, Family Pack",10214.0,1153.0,Card,Overdue,13,Yes,23,44.3,Billing,6.9,-22,23,20,2,No,0.08,Monthly,46.0,281265.0,19,Corporate,No
CUST-103718,Ruth Adekoya,Male,36,Abuja,,Divorced,Retired,84850.0,Premium,No Internet,204.8,860,390,67.6,No,"Cloud, Family Pack, Gaming",9937.0,1522.0,Bank Transfer,Pending,14,Yes,12,58.8,Billing,9.0,-16,20,26,1,No,0.78,Annual,14.0,25558.0,44,Premium,No
CUST-102474,Bello Abubakar,Female,73,Edo,2021-09-25,Single,Self-Employed,383979.0,Standard,4G,99.8,606,90,19.1,Yes,Yes,3892.0,923.0,Cash,Failed,8,Yes,5,0.5,Customer Service,9.9,25,9,12,0,No,0.239,Annual,44.0,24222.0,31,At Risk,Yes
CUST-105346,Victor Agwu,Unknown,29,Imo,2017-03-12,Married,Self-Employed,119347.5,Premium,Satellite,184.4,0,265,82.0,No,Yes,8546.0,3757.0,Cash,Failed,1,Yes,21,0.5,Slow Internet,8.5,-2,13,6,0,No,0.38,Two-Year,99.0,182955.0,17,Premium,No
CUST-102713,Yusuf Chukwudi,Male,43,Imo,,Divorced,Employed,157002.0,Standard,Satellite,89.8,747,556,31.2,No,Gaming,4920.0,2347.0,Card,Failed,14,Yes,18,44.1,Device,6.8,88,12,16,0,No,0.1,Monthly,110.0,55987.0,30,At Risk,Yes
CUST-106318,Toyin Oluwafemi,Female,35,Plateau,2015-07-05,Divorced,Unknown,47543.0,Standard,5G,93.0,410,133,48.8,No,None,5266.0,10564.0,Card,Late,3,Yes,5,0.5,Slow Internet,6.1,87,7,11,0,No,0.873,Two-Year,119.0,82323.0,8,Sme,No
CUST-101112,A. Ibrahim,Female,44,Bayelsa,2015-01-30,Single,Unemployed,119347.5,Legacy,4G,31.4,1772,330,15.2,No,"Cloud, Gaming",3165.0,780.0,Auto Debit,Paid,8,No,10,22.8,Unknown,5.9,-22,24,14,2,Yes,0.879,Annual,124.0,41021.0,15,At Risk,Yes
CUST-103478,Hauwa Onwudiwe,Female,59,Kaduna,2015-10-31,Widowed,Unemployed,3255.0,Premium,Fiber,168.0,956,207,48.6,No,"Cloud, Family Pack, Music",5228.0,1414.0,Ussd,Paid,7,Yes,17,14.9,Device,7.2,60,23,5,0,No,0.096,Two-Year,115.0,284369.0,24,High Value,No
CUST-106391,Seyi Nwachuku,Female,60,Abuja,2017-12-17,Single,Self-Employed,52063.0,Basic,Dsl,0.0,669,87,30.2,No,Yes,2753.0,6944.0,Card,Paid,2,Yes,18,20.3,Billing,9.9,53,28,11,0,No,0.18100000000000002,Annual,89.0,23007.0,28,New,No
CUST-108781,Chinedu Nwobi,Female,47,Cross River,2016-07-22,Married,Unemployed,17811.0,Standard,4G,57.4,557,185,53.3,No,"Cloud, Family Pack, Music",4997.0,6425.0,Cash,Partial,15,Yes,7,16.6,Slow Internet,6.4,94,49,9,0,Yes,0.64,Monthly,106.0,64863.0,1,Family,No
CUST-104012,Folake Nzechukwu,Unknown,30,Katsina,2022-12-04,Divorced,Student,43975.0,Business,Satellite,208.8,1085,387,73.6,No,None,9906.0,9161.0,Ussd,Pending,3,Yes,25,5.1,Customer Service,7.3,-3,14,13,2,Yes,0.498,Two-Year,30.0,86745.0,16,High Value,No
CUST-104526,Ramatu Nzechukwu,Unknown,32,Taraba,2016-09-28,Divorced,Intern,66765.0,Basic,Fiber,60.8,878,452,58.5,No,"Cloud, Sports",2714.0,3165.0,Bank Transfer,Partial,0,Yes,22,33.2,Coverage,8.5,-2,0,7,0,No,0.21,Two-Year,104.0,23197.0,25,Sme,No
CUST-102142,Wale Oduola,Female,36,Yobe,2024-10-27,Married,Employed,276242.0,Basic,4G,37.2,863,182,32.3,No,Family Pack,3033.0,5548.0,Bank Transfer,Failed,1,Yes,0,0.0,Device,7.0,36,25,25,0,No,0.79,Annual,7.0,1797.0,34,Budget,Yes
CUST-109924,Grace Adekoya,Male,61,Ondo,2021-01-19,Single,Employed,154615.0,Basic,Fiber,0.0,423,66,25.2,No,None,1932.0,3508.0,Card,Paid,1,Yes,22,0.0,Billing,8.1,-63,0,15,2,No,0.498,Monthly,52.0,8816.0,12,Corporate,No
CUST-103244,Ife Onwudiwe,Male,43,Benue,2020-11-05,Single,Student,47214.0,Premium,5G,174.8,0,311,71.7,No,Music,11877.0,4526.0,Bank Transfer,Failed,13,Yes,6,22.5,Billing,9.5,55,16,22,0,Yes,0.43,Annual,55.0,122859.0,19,Loyal,No
CUST-101969,Seun Ajiboye,Male,25,Ekiti,2022-11-28,Single,Employed,368491.0,Premium,Satellite,110.8,591,187,132.6,No,None,10728.0,9733.0,Ussd,Late,15,No,16,27.1,Billing,7.6,14,0,16,1,No,0.8,Two-Year,30.0,49711.0,45,Loyal,Yes
CUST-106722,Bilkisu Adewale,Female,55,Osun,2017-12-01,Single,Contract,119347.5,Basic,Dsl,25.5,1105,242,28.2,No,None,2243.0,2829.0,Bank Transfer,Overdue,1,Yes,3,22.9,Other,3.3,-63,12,23,0,No,0.64,Two-Year,90.0,41021.0,41,Sme,No
CUST-104380,Tunde Agwu,Female,40,Oyo,2016-10-26,Single,Student,44745.0,Premium,5G,180.5,1017,306,138.8,Yes,"Cloud, Music, Sports",9644.0,6438.0,Ussd,Pending,15,Yes,14,9.9,Sim,9.2,-19,41,20,3,No,0.31,Monthly,103.0,211298.0,33,Corporate,Yes
CUST-103746,Ego Ibrahim,Female,19,Taraba,2018-12-08,Divorced,Retired,110066.0,Basic,Satellite,46.1,691,95,20.3,No,"Music, Sports",5228.0,2019.0,Bank Transfer,Paid,9,No,8,34.7,Device,8.2,45,57,0,0,No,0.45,Legacy,78.0,15644.0,26,New,No
CUST-104910,Adaobi Fagbohun,Unknown,36,Borno,2021-05-16,Single,Unemployed,119347.5,Premium,No Internet,68.7,1684,0,71.4,Yes,Yes,9906.0,3757.0,Card,Overdue,12,Yes,19,51.8,Network,7.0,4,16,22,0,Yes,0.64,Monthly,49.0,41021.0,36,Premium,No
CUST-106322,Deborah Oyelaran,Unknown,45,Plateau,2016-01-05,Married,Contract,168294.0,Basic,5G,14.2,344,0,0.0,No,None,2149.0,3963.0,Bank Transfer,Pending,5,No,4,53.2,Network,8.1,100,26,16,0,No,0.83,Monthly,113.0,17814.0,15,Corporate,No
CUST-100779,John Oluwafemi,Male,69,Bayelsa,2018-04-21,Married,Employed,262572.0,Basic,5G,26.1,580,348,10.1,No,Yes,2899.0,3757.0,Card,Pending,1,No,1,24.5,Billing,7.9,16,29,25,0,No,0.11,Annual,85.0,18680.0,15,Loyal,No
CUST-106590,Safiya Musa,Female,53,Zamfara,2015-05-23,Married,Student,25060.0,Standard,Fiber,26.4,1057,0,26.4,No,None,4028.0,4057.0,Card,Pending,4,Yes,13,15.4,Slow Internet,9.8,92,38,13,0,No,0.15,Monthly,120.0,41021.0,28,Loyal,No
